file_path,title,topic_0,topic_1,topic_2,topic_3,topic_4
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper1.txt,Using MILP and CP for the Scheduling of Batch Chemical Processes,0.07317433039173682,0.0,0.0,0.15483398229573278,0.0797888430213913
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper10.txt,A Constraint Programming Model for Tail Assignment,0.02838361017977636,0.0023647268991498303,0.0016900507700325963,0.1561422683968346,0.0843569611953142
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper11.txt,Super Solutions in Constraint Programming,0.0,0.09103507612106211,0.09338795864286005,0.0,0.24340074593709804
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper12.txt,Local Probing Applied to Network Routing,0.0,0.0,0.2604620839175819,0.024554598255622697,0.0
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper13.txt,Dynamic Heaviest Paths in DAGs with Arbitrary Edge Weights,0.0,0.05047781312547284,0.019415126175871097,0.06057474430208432,0.0
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper14.txt,Filtering Methods for Symmetric Cardinality Constraint,0.0,0.25439348205544343,0.0,0.0065691932888114766,0.022758496727041503
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper15.txt,Arc-Consistency Filtering Algorithms for Logical Combinations of Constraints,0.0,0.24979140210719075,0.011927301363503586,0.0,0.0
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper16.txt,Combining Forces to Solve the Car Sequencing Problem,0.004760584358669297,0.01630066927929343,0.21711478808575027,0.06176530889081689,0.0
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper17.txt,Travelling in the World of Local Searches in the Space of Partial Assignments,0.0,0.04273716424339477,0.18745047986544602,0.06940869421977656,0.0
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper18.txt,A Global Constraint for Nesting Problems,0.027560337532917825,0.08325495425665576,0.011190985260851985,0.05925047874265173,0.010173706478205882
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper19.txt,Models and Symmetry Breaking for ‘Peaceable Armies of Queens’,0.009004113239896139,0.03021650708613984,0.03249711891602855,0.11185615865065218,0.12324337140168756
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper2.txt,SIMPL: A System for Integrating Optimization Techniques,0.13929157484011137,0.0,0.02448875063221586,0.0,0.049531467882512746
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper20.txt,A Global Constraint for Graph Isomorphism Problems,0.03195067802684159,0.09032077335565653,0.0,0.14885980960813708,0.0
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper21.txt,Echelon Stock Formulation of Arborescent Distribution Systems: An Application to the Wagner-Whitin Problem,0.1843985617577054,0.0,0.0,0.05517895120021337,0.0012499724317834458
E:\GITHUB\topic analysis with NMF\Data_Abstract\CPAIOR\CPAIOR 2004\paper22.txt,Scheduling Abstractions for Local Search,0.0076753899166238605,0.0,0.20258082580069667,0.01874018413777128,0.0
