topic_id,rank,word,weight
0,1,method,1.330283224370518
0,2,methods,0.8878089688103404
0,3,convergence,0.7492936404429265
0,4,problems,0.48045905337794453
0,5,search,0.4199433006700574
0,6,newton,0.4058827016673766
0,7,global,0.3803917616659116
0,8,gradient,0.37469945655135384
0,9,numerical,0.3484016565072569
0,10,new,0.30328391372384805
0,11,function,0.3017710959301395
0,12,optimization,0.29757036492365235
0,13,solving,0.28857368072938916
0,14,proposed,0.27892201635279457
0,15,quadratic,0.27736234805264043
1,1,conditions,0.6734892403012669
1,2,constraints,0.5161575363952142
1,3,optimality,0.4780028347780835
1,4,constraint,0.47134981900424794
1,5,condition,0.380204438075867
1,6,sufficient,0.37780510817727736
1,7,necessary,0.3517692783138797
1,8,second-order,0.34657858035242006
1,9,problems,0.31339216575478945
1,10,problem,0.2566399914431764
1,11,qualification,0.24531148928921073
1,12,optimization,0.22226146199485483
1,13,inequality,0.21958596501778313
1,14,set,0.21909325262742224
1,15,control,0.2187390635905986
2,1,algorithm,1.3478846723202995
2,2,solution,0.33721812662255296
2,3,point,0.302203686736323
2,4,algorithms,0.28719055883002775
2,5,linear,0.28557582058648007
2,6,problem,0.26325063476901017
2,7,complexity,0.2408143649009765
2,8,feasible,0.2189851716079171
2,9,iteration,0.21608465179395964
2,10,epsilon,0.20843948667694864
2,11,iterations,0.20278316183546935
2,12,convergence,0.1746337694745421
2,13,path,0.17386764996093543
2,14,primal-dual,0.16603745986285023
2,15,sqrt,0.16149410952439824
3,1,stochastic,1.176317575991273
3,2,optimal,0.3560825408652856
3,3,random,0.3259229102988147
3,4,probability,0.32339224271707595
3,5,programs,0.3064708852684329
3,6,optimization,0.28224509410671317
3,7,risk,0.2732769552736877
3,8,problems,0.23074081548588374
3,9,dominance,0.2241994940786863
3,10,models,0.2220374064440888
3,11,measures,0.21887010895831865
3,12,approximation,0.21431901809461185
3,13,value,0.19183441277698848
3,14,sample,0.19024192727689582
3,15,distribution,0.1730004147711941
4,1,functions,0.8789351763961218
4,2,convex,0.7700435594519949
4,3,function,0.515088800451896
4,4,sets,0.27810088613046313
4,5,error,0.2696672691983062
4,6,space,0.26718693026007284
4,7,proximal,0.25969539635996397
4,8,smooth,0.24351735700611996
4,9,set,0.23071635923478417
4,10,results,0.20799494222393083
4,11,subdifferential,0.19495158743592556
4,12,variational,0.19018703247494753
4,13,lipschitz,0.18660767830567265
4,14,pp,0.178989646484492
4,15,mathbb,0.17883464954424913
5,1,problem,0.6999446850800045
5,2,semidefinite,0.5540975678558674
5,3,sdp,0.4111546162326003
5,4,polynomial,0.4014582060316753
5,5,relaxation,0.37464951307541383
5,6,matrix,0.3192038914244886
5,7,programming,0.30986731923513
5,8,linear,0.2856478324427503
5,9,relaxations,0.2793614408501854
5,10,quadratic,0.2412407464407689
5,11,approximation,0.24076098795188303
5,12,positive,0.22092521758847133
5,13,graph,0.21621734186998753
5,14,problems,0.2128449215828985
5,15,bounds,0.21014608529750725
