file_path,title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Journal of Optimization Theory and Applications\100July 1976, Issue 3\paper1.txt",Numerical solution of unstable two-point boundary-value problems by quasilinearization and orthonormalization,0.07318204919225209,0.003851751309068964,0.015510439262962479,0.0,0.0,0.0,0.0,0.015727813090763258,0.0,0.0,0.009017630690285577,0.020599366649185047
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Journal of Optimization Theory and Applications\100July 1976, Issue 3\paper2.txt",Variable metric methods in Hilbert space with applications to control problems,0.028151054710408328,0.024454283720914443,0.0,0.026565418823008943,0.0,0.0,0.02748639804867451,0.0,0.010218903339383053,0.0013125224445513155,0.0,0.02071310929120667
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Journal of Optimization Theory and Applications\100July 1976, Issue 3\paper3.txt",A steepest-descent method for optimization of mechanical systems,0.026922892575652942,0.055544093143997914,0.03043516394857316,0.0,0.0,0.007816150882754344,0.030002661709913107,0.03729594427819344,0.001767665477074352,0.0,0.010000667444340213,0.0
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Journal of Optimization Theory and Applications\100July 1976, Issue 3\paper4.txt",Boundary arcs for integral equations,0.0,0.11624963098913782,0.0,0.0021085641241091906,0.0,0.05592377238159912,0.0007931980000167147,0.04886505845214839,0.0,0.0,0.0,0.011349215971002441
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Journal of Optimization Theory and Applications\100July 1976, Issue 3\paper5.txt",On the maximum principle for a class of discrete dynamical systems with lags,0.0,0.09026299808390596,0.0,0.008594897182314251,0.0,0.0,0.0,0.030540727306625888,0.0,0.0018189743429854709,0.004089753683101113,0.018927096620694042
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Journal of Optimization Theory and Applications\100July 1976, Issue 3\paper6.txt",Optimal controls with equality state constraints,0.0,0.04981267154109149,0.0,0.020638264561525885,0.0,0.0935671199573536,0.04568400029589693,0.0008893255166160465,0.0,0.018635705874148548,0.0,0.0018155129729826814
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Journal of Optimization Theory and Applications\100July 1976, Issue 3\paper7.txt",Optimal solutions to differential inclusions,0.0,0.02072424586831126,0.0,0.0001027597223740783,0.0005714358423619611,0.07399909429200567,0.027144476303175884,0.0012222957709209054,0.0,0.005264858059406706,0.0,0.06143945060962267
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Journal of Optimization Theory and Applications\100July 1976, Issue 3\paper8.txt",On the existence of solutions to compact dynamic optimization problems,0.0,0.003432038716903065,0.0,0.0,0.00040167182910361675,0.0013099043804252813,0.07406237578445464,0.00044385449963124776,0.011873043737248434,0.0,0.0,0.009702402702918736
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Journal of Optimization Theory and Applications\100July 1976, Issue 3\paper9.txt",Approximations for optimal Laplace transform inversion,0.01718405974777596,0.0,0.0,0.0,0.0006413135600145512,0.0,0.009083892266884561,0.006190120152115685,0.0,0.04282483704875638,0.0,0.006863058841779471
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Journal of Optimization Theory and Applications\101August 1976, Issue 4\paper1.txt",A generalization of Lagrange's method of undetermined multipliers using zero-zone functionals,0.022910073592175,0.0,0.0,0.013353228864748743,0.0,0.04040202187287413,0.0,0.0,0.0,0.057873441642977884,0.007233738722673103,0.01209862634134735
