file_path,title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 1/paper2.txt,THE APPLICATION OF OPTIMIZATION TECHNIQUES IN THE PROFESSIONAL PRACTICE,0.04413954290571418,0.04283011217426881,0.0,0.010330821053879292,0.02929692103768947,0.034649176783143464
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 1/paper3.txt,THE OPTIMUM DESIGN OF CONCRETE STRUCTURES,0.0,0.022063855502243462,0.0,0.0,0.04356865322109017,0.083327794682017
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 1/paper4.txt,OPTIMALITY CONDITIONS FOR TRUSSES WITH NONZERO MINIMUM CROSS-SECTIONS,0.011028464006964044,0.0,0.020916363485554496,0.0,0.0361811199585507,0.1076604432551411
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 1/paper5.txt,HEURISTIC APPROACHES TO ROAD NETWORK OPTIMIZATION,0.015917094340895988,0.03134313598637973,0.02968788479543638,0.07183417786119664,0.006391849890815506,0.005773869838492122
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 1/paper6.txt,THE CIRIA OPTIMIZATION STUDY OF SEWAGE TREATMENT,0.0,0.005395881650566128,0.004048770337384322,0.0783751466518798,0.037553959481045444,0.008500131388095484
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 1/paper7.txt,MICHELL FRAMEWORK FOR UNIFORM LOAD BETWEEN FIXED SUPPORTS,0.0,0.0004765068208208455,0.03835290239258869,0.0,0.0,0.06627224353410437
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 2/paper1.txt,AN OPTIMIZATION METHOD TO DESIGN HYDRAULIC NETWORKS,0.08019542606362746,0.011522409363912862,0.0,0.05642264980724934,0.0,0.0
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 2/paper2.txt,AN OPTIMAL DESIGN SCHEME WITH APPLICATION TO TANKER TRANSVERSE STRUCTURE,0.0,0.005433811871456351,0.012932269955410212,0.0,0.12507105569322938,0.06111632622506745
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 2/paper3.txt,DANGERS OF STRUCTURAL OPTIMIZATION,0.0035431229626750656,0.0,0.0,0.0,0.0,0.07300562525139306
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 2/paper4.txt,THE OPTIMAL DESIGN OF DRAINAGE SYSTEMS,0.01759878613127082,0.014742275353853548,0.01947633414848972,0.03174560588355453,0.07505187423512796,0.03531175942971943
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 2/paper5.txt,COST OPTIMIZATION IN RELATION TO FACTORY STRUCTURES,0.011638812455892046,0.0,0.009585861298107083,0.06902512777873084,0.01808063978064321,0.0962475151421583
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 3/paper1.txt,OPTIMUM COST DESIGN OF A STEEL-FRAMED BUILDING,0.013017053313025643,0.0,0.03477562773796251,0.017509653370820406,0.11021105054127239,0.07309761412077583
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 3/paper2.txt,"SOLUTION OF SOME COMBINATORIAL OPTIMIZATION PROBLEMS ENCOUNTERED IN WATER RESOURCES DEVELOPMENT† This research was partially supported by NSF Grant GU 3851 to the Urban Systems Engineering Center, Northwestern University.",0.0398970462449815,0.01941702887125398,0.03015472220899294,0.10382110164875294,0.0,0.0
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 3/paper3.txt,COMPUTATIONAL EFFICIENCY IN STRUCTURAL OPTIMIZATION,0.02169897983217902,0.036801814644667676,0.0,0.0,0.0,0.05828868044068347
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 3/paper4.txt,ARCHITECTURAL OPTIMIZATION-A REVIEW,0.04095749912706712,0.0245078688326725,0.018016009533879156,0.031465567971294905,0.026070881316586837,0.02103040786289428
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 4/paper1.txt,OPTIMUM LIMIT STATE DESIGN OF HIGHWAY BRIDGE SUPERSTRUCTURES USING GEOMETRIC PROGRAMMING,0.03537393222369679,0.0,0.005995752225197392,0.008295212095900598,0.0897258346036816,0.05396698332222826
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 4/paper2.txt,OPTIMUM EXPANSION RATIO OF CASTELLATED STEEL BEAMS,0.0025872346973428305,0.0,0.0,0.006436474034541949,0.0,0.0894339208212376
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 4/paper3.txt,TOWARDS A COMPUTER AIDED DESIGN PHILOSOPHY WITH PARTICULAR REFERENCE TO BRIDGE DESIGN,0.0010734822151309668,0.00929850912523031,0.02835495035620948,0.0034134510824540857,0.09714254945963018,0.024332524325778346
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 4/paper4.txt,MATHEMATICAL MODELS FOR DEVELOPING REGIONAL SOLID WASTE MANAGEMENT POLICIES,0.008603378249881721,0.0,0.0174638185830922,0.1312085205423027,0.0,0.004601017865860347
Data_Abstract/Engineering Optimization/Volume 1 1974-1975_Issue 4/paper5.txt,HYBRID COMPUTER OPTIMIZATION OF A CATCHMENT SIMULATION MODEL,0.05188406173015026,0.019183340215487222,0.0,0.04295377950671602,0.01703066995771234,0.010207171393308172
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 1/paper1.txt,COMPUTATIONAL ASPECTS OF THE GRADIENT PROJECTION METHOD FOR TRUSS OPTIMIZATION,0.050429852383102984,0.04650924181697673,0.0,0.0,0.0,0.06100555492644096
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 1/paper2.txt,OPTIMIZATION OF PRESTRESSED CONCRETE BRIDGE GIRDERS,0.0,0.0,0.007463838173052974,0.013286012510912486,0.08258546554204849,0.06012486434787912
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 1/paper3.txt,A SHAPE AND SIZE OPTIMIZATION ALGORITHM FOR MACHINE TOOL ELEMENT DESIGN,0.0,0.03829598978913338,0.017072296691284655,0.00012394391772913601,0.028941662165840196,0.10087151897208073
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 1/paper4.txt,PARETO OPTIMAL SOLUTIONS IN TWO CRITERIA BEAM DESIGN PROBLEMS,0.004584179091109816,0.0045948317474961975,0.03086414657495208,0.01612913743569921,0.042445287918006225,0.042668425258247565
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 1/paper5.txt,OPTIMAL SHOVEL-TRUCK OPERATIONS,0.0,0.0,0.05474052826188202,0.06332094763632487,0.0010660672065701034,0.03340986835215906
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 2/paper1.txt,A MULTI-OBJECTIVE ROUTING PROBLEM,0.013252859428139105,0.007544491741712435,0.06465653640947226,0.03279679472615508,0.00684008775281984,0.0
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 2/paper2.txt,A GLOBAL MAXIMUM PRINCIPLE FOR DISCRETE-TIME CONTROL PROBLEMS,0.01776093195709081,0.0,0.0398556916353879,0.028489752018252427,0.01557075838484775,0.03330306720470759
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 2/paper3.txt,OPERATING COST OPTIMIZATION OF A BATCH PROCESS,0.011025228175108825,0.004960048208003931,0.037516100522388914,0.0766728457143977,0.005529885089356987,0.023992725124854775
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 2/paper4.txt,OPTIMAL DESIGN OF TAPERED STEEL I-COLUMNS,0.0,0.0,0.009506795729931817,0.0,0.08077870881619786,0.08751221624656959
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 2/paper5.txt,A BRANCH AND BOUND ALGORITHM FOR TOPOLOGY OPTIMIZATION OF TRUSS STRUCTURES,0.014928270076343259,0.042265673619373084,0.019163298013789926,0.0,0.0,0.08812468598582125
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 2/paper6.txt,ADMISSIBLE CUTTING PATTERNS IN THE TRIM PROBLEM,0.0007020606888135748,0.015621346435367733,0.023611508445769796,0.026957804614622872,0.013180708887977398,0.01859694508203896
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 2/paper7.txt,COMPUTER-AIDED MINIMUM-WEIGHT DESIGN OF STATICALLY INDETERMINATE BEAMS,0.04848298625380112,0.0,0.025278856102342255,0.0020517063066508565,0.006529314903395662,0.07025834643393167
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 3/paper1.txt,ON THE AUTOMATIC SELECTION OF REANALYSIS TECHNIQUES IN MACHINE TOOL STRUCTURAL ELEMENT OPTIMIZATION,0.014182787745387646,0.05902944433381618,0.020307608935600303,0.0,0.014867036483217421,0.10956448777042213
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 3/paper2.txt,A MIXED METHOD FOR SHAPE OPTIMIZATION OF SKELETAL STRUCTURES,0.07018930587307264,0.0,0.004327300796184775,0.003593651931697763,0.0013440707611993982,0.058452852241401
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 3/paper3.txt,A GUIDE-WEIGHT CRITERION METHOD FOR THE OPTIMAL DESIGN OF ANTENNA STRUCTURES,0.05852293636640203,0.00600166899065463,0.0,0.0,0.05981612678088382,0.048126050074466076
Data_Abstract/Engineering Optimization/Volume 10 1986-1987_Issue 3/paper4.txt,MIXED INTEGER PROGRAMMING FOR THE OPTIMAL (LEAST COST) DESIGN OF ECCENTRICALLY LOADED MASONRY BEARING WALLS: PART I. LOW ECCENTRICITIES,0.0,0.0,0.023023124971033298,0.04533777455686277,0.06782593600110441,0.027264542899039686
