file_path,title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 1, 1971/paper3.txt",Error Bounds of High Order Accuracy for the State Regulator Problem via Piecewise Polynomial Approximations,0.02380081668271935,0.005303863021226698,0.0,0.037002936460573795,0.0,0.0,0.0008267748979077687,0.010614717234736447,0.056111987910194415
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 1, 1971/paper6.txt",Necessary and Sufficient Optimality Conditions for a Class of Distributed Parameter Control Systems,0.04074798670816037,0.02121881094748257,0.0,0.0,0.0,0.1415935219394013,0.012656251873805176,0.0,0.0
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 1, 1971/paper9.txt",The Generation of Lyapunov Functions for Input-Output Stable Systems,0.0,0.1309024511291813,0.0036120328486983445,0.01257187467197096,0.0,0.0,0.0,0.0,0.0043972724248145835
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 2, 1971/paper1.txt",Output Controllability and System Synthesis,0.0,0.07859370659420846,0.0,0.0,0.0010869365561408785,0.04613086068576123,0.0,0.006913079531784605,0.0
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 2, 1971/paper10.txt",Some Effects of Measurement Uncertainty in Linear Multistage Games,0.026932029302475298,0.02232385902428425,0.19481012543625797,0.0,0.0,0.0013212636025938394,0.0,0.030513086479361573,0.0
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 2, 1971/paper11.txt","Closure, Lower Closure, and Semicontinuity Theorems in Optimal Control",0.014484776034165713,0.0017683458738956077,0.015331513865083765,0.008071043599967043,0.0,0.05248094304426858,0.0,0.0,0.00542036978965646
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 2, 1971/paper2.txt","On Information Structures, Feedback and Causality",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13543816755528099
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 2, 1971/paper3.txt",Necessary Conditions Joining Optimal Singular and Nonsingular Subarcs,0.045564388618010834,0.0,0.0,0.0,0.0,0.11059168607854934,0.0,0.0,0.0
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 2, 1971/paper4.txt",Discrete Splines via Mathematical Programming,0.015917760490773297,0.0,0.0,0.059017139650846345,0.0,0.027560792144214002,0.0,0.029656418529678204,0.0070963646936078525
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 2, 1971/paper5.txt",Optimal Stationary Control with State Control Dependent Noise,0.05317599598061479,0.032002463145533226,0.004829552391689472,0.0,0.0,0.00029898980730565727,0.06721610797722576,0.0,0.0
"Data_Abstract/SIAM Database/SIAM Journal on Control and Optimization/Volume 10_Issue 2, 1971/paper7.txt",Equilibrium Feedback Control in Linear Games with Quadratic Costs,0.0,0.03435337004984669,0.13338711383997862,0.0007391404310495765,0.017099422275202125,0.0005460478592082946,0.0037348482465362804,0.08855651924747122,0.0
