file_path,title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Global Optimization\100February 2004, Issue 2\paper2.txt",An Analytic Center Cutting Plane Method for Solving Semi-Infinite Variational Inequality Problems,0.04960955808047082,0.021629370318597397,0.027987665827806135,0.0,0.04658931000655763,0.0,0.06778813731639742
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Global Optimization\100February 2004, Issue 2\paper3.txt",On augmented Lagrangians for Optimization Problems with a Single Constraint,0.016227236814105785,0.014494323510889846,0.03560267373228185,0.004875399131552914,0.0,0.07150282292429258,0.010614684829672092
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Global Optimization\100February 2004, Issue 2\paper4.txt",Neurodynamical Optimization,0.004600595720119558,0.0037170227550943073,0.0,0.06500822368042783,0.032634153749066905,0.0,0.025411362113413855
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Global Optimization\100February 2004, Issue 2\paper5.txt",A New Decomposition Technique in Solving Multistage Stochastic Linear Programs by Infeasible Interior Point Methods,0.006683619397211027,0.0,0.0,0.04024152517356066,0.0018131166838585516,0.0,0.1032737521481489
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Global Optimization\100February 2004, Issue 2\paper6.txt",Some optimization problems in multivariate statistics,0.0,0.022298497629625453,0.019096228533514024,0.06846095303656097,0.0,0.04043479417937721,0.04400480312860795
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Global Optimization\100February 2004, Issue 2\paper7.txt",A Hybrid Descent Method for Global Optimization,0.033527617088992746,0.0,0.0,0.09669092062867594,0.025410362663638306,0.0,0.0
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Global Optimization\101April 2004, Issue 3-4\paper10.txt",Topics on Variational Analysis and Applications to Equilibrium Problems,0.0,0.08437273438799313,0.0,0.0,0.02933948846728311,0.03922827114065955,0.011806166133558843
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Global Optimization\101April 2004, Issue 3-4\paper11.txt",Coderivative Analysis of Variational Systems,0.0,0.08835690594644793,0.0057991253925414096,0.001885685818431071,0.03904694427617265,0.03990231775259883,0.0
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Global Optimization\101April 2004, Issue 3-4\paper12.txt",Strong Local Optimality Conditions for State Constrained Control Problems,0.0,0.0,0.0,0.005586206918411753,0.007759841131654979,0.12275297084963889,0.028578243830617002
"E:\GITHUB\topic analysis with NMF\Data_Abstract\Springer Database\Global Optimization\101April 2004, Issue 3-4\paper13.txt",Gap Functions and Lyapunov Functions,0.00268336202196131,0.11805664428852503,0.02979029972983454,0.0174109921706927,0.03258543400504722,0.0,0.01015946365214204
