file_path,title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper1.txt,Relatively convex sets and functions in R  n,0.03355088031950894,0.0005535443141750308,0.012190191870688004,0.0,0.0,0.0,0.1319689857936318,0.0027898459705540815
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper10.txt,The nicholson principle in discrete dynamic optimization,0.005530957266353036,0.0008412593523446061,0.03593661905779171,0.048991616901894464,0.0,0.00012306539299243843,0.0,0.058774519295850744
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper11.txt,Book review,0.0,0.021074602078779828,0.0,0.0,0.14409755462815566,0.0,0.0,0.0
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper12.txt,Abstract,0.021468938057876086,0.000161526005936328,0.015114076563525414,0.011936299729459717,0.0,0.0,0.03483772439453997,0.0018319344492019889
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper13.txt,Ein produktionsplanungsmodell bei horizontaler und vertikaler verflechtung,0.0064348584730434455,0.0,0.0,0.035845423841441994,0.0,0.0,0.0,0.08503069020059335
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper14.txt,One - processor scheduling with nonuniform ready times,0.005426949866797865,0.0,0.019123061291717057,0.020217926234379756,0.002172797333403443,0.0,0.038967380399101394,0.057197833171619264
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper15.txt,On Pontryagin maximum principle for systems with non-one-point target sets and systems with additional constraints,0.029365447860384305,0.0,0.0,0.03374887527656579,0.0,0.0,0.0817996402967063,0.014738269697110581
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper16.txt,A-priori-abschätzungen von optimalwerten zu steuerungspromemen. teil i,0.020038223109048268,0.003257663929948553,0.02953954823458731,0.08444590287393489,0.010825732387989763,0.03529591294758998,0.0,0.006348974556200617
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper17.txt,Über werteannahme bei einer klasse von optlmalpromemen,0.047379486396734935,0.003481546380567647,0.0023655582800138244,0.029021974011535823,0.0,0.0,0.025460564519236804,0.06612162094373893
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper18.txt,Approximation procedure for stochastic dynamic programming based on clustering of state and action spaces,0.0,0.0,0.0024921531247997382,0.10159663847024725,0.0,0.02039969427181688,0.05249809381461899,0.034251770418687946
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper19.txt,Anwendung der dualitatstheorie auf probleme der optimalen steuerung,0.08737990185432995,0.0,0.003980248284704649,0.07309459306147299,0.0,0.02538358512715204,0.0,0.048589729501589705
Data_Abstract/Optimization/Volume 10 1979_Issue 1/paper2.txt,Linearität and verallgemeinerungen der konvexität,0.03865192073989828,0.004980698739935429,0.03717619932398694,0.010654302273545043,0.004572636906798215,0.02276458757614127,0.03813598106868446,0.023590848606425532
