topic_id,rank,word,weight
0,1,open,1.508338789957549
0,2,window,1.500756486295143
0,3,image,1.4942297842546763
0,4,new,1.180720863895569
0,5,let,0.12448820475888966
0,6,nielsen,0.09832073308752323
0,7,convex,0.08505693748409837
0,8,nonempty,0.0821324144366036
0,9,map,0.08142604314697814
0,10,continuous,0.08088984717497254
0,11,mapping,0.08086229035301441
0,12,prove,0.08079388963681824
0,13,subset,0.08041460616214277
0,14,number,0.07955301811663487
0,15,maps,0.07839532417494373
1,1,results,1.0924429176984753
1,2,literature,0.3729810700156912
1,3,existence,0.3528035999046857
1,4,extend,0.34074736563655433
1,5,generalize,0.3304418929469903
1,6,paper,0.312402908212398
1,7,point,0.3053868917842007
1,8,mappings,0.2971314381646145
1,9,best,0.28780860110370055
1,10,proximity,0.28537428657744507
1,11,contractions,0.2830680140406046
1,12,improve,0.2372713774570364
1,13,spaces,0.2185182588491987
1,14,theorems,0.21515525008329608
1,15,fixed,0.20635099867939158
2,1,common,0.5301127453725706
2,2,set,0.4917402324126366
2,3,nonexpansive,0.476636435657518
2,4,convergence,0.4618935578168031
2,5,iterative,0.41581345812526527
2,6,strong,0.3870136632172753
2,7,mappings,0.3728055908797688
2,8,problem,0.3693422110191487
2,9,method,0.3601907117779076
2,10,family,0.33324188815545913
2,11,equilibrium,0.3318796774604122
2,12,element,0.3166209293272062
2,13,hilbert,0.3165301708342332
2,14,scheme,0.30060440496609103
2,15,finding,0.2796233989147735
3,1,functional,0.5655907613227089
3,2,equations,0.5624621510875627
3,3,stability,0.43999759825050977
3,4,equation,0.40915272485218435
3,5,existence,0.32140675871553337
3,6,solutions,0.30783846529437875
3,7,operators,0.3049044885521858
3,8,method,0.2645532601078384
3,9,operator,0.2382521273316581
3,10,nonlinear,0.23662427345152176
3,11,problem,0.20280761276154174
3,12,differential,0.2024334809109201
3,13,fixed,0.19930936324998
3,14,point,0.19432785845856873
3,15,solution,0.18116934125458378
4,1,metric,0.6767941369007358
4,2,point,0.5270250214648199
4,3,theorem,0.4768794400780589
4,4,fixed,0.47209916656772793
4,5,spaces,0.4147597431198227
4,6,space,0.2643565894137344
4,7,contraction,0.24432963582749778
4,8,theorems,0.24410596290782363
4,9,generalized,0.21117356970344087
4,10,mappings,0.2034163951706618
4,11,fuzzy,0.19901340471427553
4,12,cone,0.18758820515268176
4,13,complete,0.18139402289274115
4,14,partial,0.1764351802085629
4,15,contractive,0.16777980851747795
