topic_id,rank,word,weight
0,1,search,0.7794499054764076
0,2,moea,0.5588066024092526
0,3,local,0.5274855497711876
0,4,multi-objective,0.4292562967885387
0,5,selection,0.38206417419122646
0,6,operators,0.3740451067721715
0,7,moeas,0.2745705761201523
0,8,algorithms,0.2729786723528776
0,9,performance,0.2263527760053979
0,10,results,0.21813583217580365
0,11,experimental,0.21480945240395227
0,12,problem,0.20193013090732712
0,13,operator,0.20071723839406802
0,14,mutation,0.1999548061094958
0,15,based,0.18885993928348502
1,1,problem,0.7437859551474234
1,2,design,0.6503740157712596
1,3,approach,0.25478728839842946
1,4,multiobjective,0.25162246847226494
1,5,optimization,0.21434603524945953
1,6,objective,0.21066980592737305
1,7,genetic,0.20631824483591432
1,8,multiple,0.18344521277448161
1,9,solutions,0.18331361829115522
1,10,network,0.18085373256849765
1,11,cost,0.17317974744486844
1,12,objectives,0.1627691229315429
1,13,results,0.16019195846112455
1,14,different,0.15890527996957357
1,15,single,0.1564793787003985
2,1,pareto,0.6304876858077877
2,2,algorithm,0.446659876825852
2,3,solutions,0.42921090523429706
2,4,set,0.3048181777191147
2,5,multiobjective,0.2856125819487834
2,6,optimal,0.2531173121768006
2,7,method,0.24592103512505514
2,8,non-dominated,0.23535542417855698
2,9,indicator,0.2255454821535101
2,10,proposed,0.21474861441554227
2,11,dominance,0.2127593557873134
2,12,performance,0.209760665600103
2,13,population,0.20520715027465128
2,14,hypervolume,0.2011605469605751
2,15,objective,0.2009436895052901
3,1,problems,0.8546183650836219
3,2,optimization,0.5464406852725683
3,3,multi-objective,0.3418651587229722
3,4,algorithms,0.29268032294732294
3,5,many-objective,0.25915579042776776
3,6,test,0.25429291354766986
3,7,solving,0.24617514724180742
3,8,objectives,0.24608799221790373
3,9,evolutionary,0.24169980756943188
3,10,methods,0.23397531100319574
3,11,emo,0.23204352701449352
3,12,algorithm,0.18088350982442233
3,13,nsga-iii,0.17004467733575848
3,14,handling,0.16560736058349743
3,15,number,0.15877156923693458
4,1,decision,0.7527302565798409
4,2,maker,0.45475820773049574
4,3,model,0.43602592456555267
4,4,preferences,0.39783807437363194
4,5,models,0.27380070321993705
4,6,preference,0.2729110494527243
4,7,process,0.24367990347485988
4,8,information,0.23843416049135568
4,9,space,0.22627397501390814
4,10,solution,0.22323803095355835
4,11,dm,0.21617984905752444
4,12,preferred,0.21505833055586093
4,13,making,0.2051546238744569
4,14,solutions,0.18857561187735086
4,15,objective,0.16438490401651432
