period,topic,prevalence,n_docs
1992,topic_0,0.17457206474281858,14
1992,topic_1,0.05380192543294148,14
1992,topic_2,0.18864883108228664,14
1992,topic_3,0.13237119754002746,14
1992,topic_4,0.2925368207298784,14
1992,topic_5,0.1580691604720475,14
1993,topic_0,0.1301772610131126,20
1993,topic_1,0.11265877575673376,20
1993,topic_2,0.1551472196499049,20
1993,topic_3,0.1167692560722092,20
1993,topic_4,0.24170418481837844,20
1993,topic_5,0.2435433026896612,20
1994,topic_0,0.11932666907042369,17
1994,topic_1,0.04134594675065675,17
1994,topic_2,0.19574675672137154,17
1994,topic_3,0.1293358953795047,17
1994,topic_4,0.32389291688937316,17
1994,topic_5,0.1903518151886701,17
1995,topic_0,0.09769936360227297,19
1995,topic_1,0.1615342826617482,19
1995,topic_2,0.26935419325284543,19
1995,topic_3,0.07032668958983447,19
1995,topic_4,0.25587861634852166,19
1995,topic_5,0.14520685454477725,19
1996,topic_0,0.09639664131406338,28
1996,topic_1,0.030205702492583277,28
1996,topic_2,0.24078942573953988,28
1996,topic_3,0.26533090491693206,28
1996,topic_4,0.17701211479031753,28
1996,topic_5,0.19026521074656375,28
1997,topic_0,0.0691952813181836,33
1997,topic_1,0.054544862910896136,33
1997,topic_2,0.21006278203448636,33
1997,topic_3,0.11451656367594562,33
1997,topic_4,0.3216925012057529,33
1997,topic_5,0.2299880088547352,33
1998,topic_0,0.1586232216613678,39
1998,topic_1,0.10555117127421554,39
1998,topic_2,0.22051220047686257,39
1998,topic_3,0.16974411688396768,39
1998,topic_4,0.204925565352048,39
1998,topic_5,0.14064372435153827,39
1999,topic_0,0.09423313379218427,45
1999,topic_1,0.05786254223933984,45
1999,topic_2,0.1746254755690238,45
1999,topic_3,0.3036715793171085,45
1999,topic_4,0.20448531412860196,45
1999,topic_5,0.16512195495374168,45
2000,topic_0,0.14720731540337675,43
2000,topic_1,0.10991938381707227,43
2000,topic_2,0.17605954861083248,43
2000,topic_3,0.23278749747478455,43
2000,topic_4,0.18115811564711323,43
2000,topic_5,0.15286813904682062,43
2001,topic_0,0.10936762954648037,49
2001,topic_1,0.12259658044283323,49
2001,topic_2,0.2585641395959188,49
2001,topic_3,0.11883085466944544,49
2001,topic_4,0.21626835790145493,49
2001,topic_5,0.17437243784386708,49
2002,topic_0,0.1662146451879839,51
2002,topic_1,0.13248837809308964,51
2002,topic_2,0.17476205696932126,51
2002,topic_3,0.14428339625098344,51
2002,topic_4,0.1873969987483496,51
2002,topic_5,0.1948545247502722,51
2003,topic_0,0.1548347491015309,40
2003,topic_1,0.08342262272414563,40
2003,topic_2,0.18164296355016363,40
2003,topic_3,0.25423783130916233,40
2003,topic_4,0.22607250743045207,40
2003,topic_5,0.09978932588454535,40
2004,topic_0,0.1382969603827347,47
2004,topic_1,0.058839892588552725,47
2004,topic_2,0.22816265796315238,47
2004,topic_3,0.20262149431696894,47
2004,topic_4,0.21592902531089977,47
2004,topic_5,0.15614996943769158,47
2005,topic_0,0.09207175957014359,44
2005,topic_1,0.12349289907507909,44
2005,topic_2,0.22570131147695677,44
2005,topic_3,0.15437310951885827,44
2005,topic_4,0.22241848731495953,44
2005,topic_5,0.1819424330440028,44
2006,topic_0,0.1597308769908329,51
2006,topic_1,0.05038570898935012,51
2006,topic_2,0.22722627599282405,51
2006,topic_3,0.2057569392719633,51
2006,topic_4,0.17521097878793612,51
2006,topic_5,0.18168921996709345,51
2007,topic_0,0.13268621846788833,56
2007,topic_1,0.10716415733049195,56
2007,topic_2,0.16483718552092774,56
2007,topic_3,0.10766527554908738,56
2007,topic_4,0.32981503874350904,56
2007,topic_5,0.15783212438809566,56
2008,topic_0,0.13987226720412832,53
2008,topic_1,0.15669578329789613,53
2008,topic_2,0.1695583091832987,53
2008,topic_3,0.15950034995096304,53
2008,topic_4,0.20841168957339848,53
2008,topic_5,0.16596160079031522,53
2009,topic_0,0.1010666800298559,64
2009,topic_1,0.1979878564407105,64
2009,topic_2,0.2594543977724777,64
2009,topic_3,0.12364133165622418,64
2009,topic_4,0.17417921670532316,64
2009,topic_5,0.14367051739540856,64
2010,topic_0,0.12807366750612453,76
2010,topic_1,0.09370081098445356,76
2010,topic_2,0.22884669690671192,76
2010,topic_3,0.19001732026827747,76
2010,topic_4,0.20535368004520746,76
2010,topic_5,0.15400782428922508,76
2011,topic_0,0.173132410422157,82
2011,topic_1,0.16362140642285378,82
2011,topic_2,0.2119817182771539,82
2011,topic_3,0.17327377104864583,82
2011,topic_4,0.13898825392124972,82
2011,topic_5,0.1390024399079398,82
2012,topic_0,0.13969662670356536,132
2012,topic_1,0.17410647833381335,132
2012,topic_2,0.19877123787219705,132
2012,topic_3,0.12005820208836444,132
2012,topic_4,0.19600092515257514,132
2012,topic_5,0.17136652984948478,132
2013,topic_0,0.1482065821691276,91
2013,topic_1,0.10590360839536316,91
2013,topic_2,0.21381569241815646,91
2013,topic_3,0.13739338375650495,91
2013,topic_4,0.19492041759641338,91
2013,topic_5,0.19976031566443445,91
2014,topic_0,0.13799362871321372,87
2014,topic_1,0.11877631100103207,87
2014,topic_2,0.17976389317538272,87
2014,topic_3,0.21293365641042866,87
2014,topic_4,0.1850287903630952,87
2014,topic_5,0.1655037203368477,87
2015,topic_0,0.15503380760779628,92
2015,topic_1,0.16171264692482373,92
2015,topic_2,0.18509489479308575,92
2015,topic_3,0.15109793627913545,92
2015,topic_4,0.15600040175511218,92
2015,topic_5,0.1910603126400466,92
2016,topic_0,0.1338800178092326,97
2016,topic_1,0.1162681717962367,97
2016,topic_2,0.2552098914541887,97
2016,topic_3,0.16834149629153503,97
2016,topic_4,0.17780655473498388,97
2016,topic_5,0.14849386791382316,97
2017,topic_0,0.18020608930805376,73
2017,topic_1,0.09512856976906732,73
2017,topic_2,0.1466219849620511,73
2017,topic_3,0.22716502146636006,73
2017,topic_4,0.18899188332616088,73
2017,topic_5,0.16188645116830688,73
2018,topic_0,0.17135939303829115,94
2018,topic_1,0.13103055323031668,94
2018,topic_2,0.1940149307851262,94
2018,topic_3,0.16936036668604557,94
2018,topic_4,0.18526226642558932,94
2018,topic_5,0.14897248983463096,94
2019,topic_0,0.17170533788135633,19
2019,topic_1,0.10808704067311412,19
2019,topic_2,0.1105789188919206,19
2019,topic_3,0.190386249189322,19
2019,topic_4,0.2544959009108177,19
2019,topic_5,0.16474655245346914,19
